itdl-ag,itdl-au,itdl-aug,itdl-ug
0.674602445,0.57104949,0.62521242,0.695985061
0.64546863,0.603008864,0.647263243,0.607476304
0.656369946,0.561828237,0.653773486,0.584127251
0.682983666,0.590580219,0.643903117,0.598980532
0.685427394,0.609175458,0.667672186,0.619484933
0.696233252,0.650680643,0.675156102,0.631245372
0.683690056,0.628954378,0.670440471,0.623417807
0.672807832,0.661753783,0.694266815,0.643864934
0.709196463,0.681341787,0.662383807,0.675690667
0.69963156,0.657801818,0.742893175,0.694419548
0.721548742,0.688272046,0.721090543,0.746062384
0.653124371,0.553618839,0.631073548,0.553618839
0.625937902,0.54844501,0.596689537,0.558143554
0.60402072,0.561522771,0.630768082,0.540025605
0.628763462,0.574638715,0.647721442,0.570572199
0.64569773,0.552225151,0.643845842,0.581187141
0.62603336,0.585520939,0.629737134,0.571774971
0.641096649,0.573435942,0.634261848,0.58576913
0.649191496,0.575898762,0.658603666,0.611714644
0.64264307,0.59224119,0.645239531,0.598579608
0.653391653,0.631073548,0.665381191,0.620248598
0.660341003,0.653124371,0.660341003,0.660341003
0.651157933,0.521735832,0.623818732,0.521735832
0.592680297,0.512590945,0.622520501,0.512380937
0.601997008,0.495618493,0.643502193,0.515645604
0.653143462,0.540541079,0.647931449,0.527921517
0.62238686,0.558582661,0.656427221,0.538479184
0.646117745,0.564959263,0.642394879,0.56093093
0.647683258,0.57599422,0.633402726,0.572672278
0.639912968,0.58494819,0.648733298,0.604058903
0.648084182,0.605414408,0.672884199,0.628171621
0.677695287,0.623818732,0.661219218,0.636171011
0.66736672,0.651157933,0.66736672,0.66736672
0.569713076,0.460413543,0.519845761,0.460413543
0.547814986,0.475782299,0.555833467,0.4719067
0.563298291,0.470283912,0.580060735,0.467821093
0.555012528,0.474006778,0.584260892,0.501422346
0.59506675,0.496573074,0.581187141,0.479409707
0.599209631,0.488993701,0.567460265,0.5035797
0.595448582,0.503064226,0.589339263,0.516046528
0.571545872,0.512495487,0.59224119,0.528685182
0.606693547,0.508505338,0.586017321,0.549342316
0.620802255,0.519845761,0.588938339,0.5386701
0.617480313,0.569713076,0.617480313,0.617480313
0.560606373,0.431069721,0.545676725,0.431069721
0.534298118,0.418602892,0.539032841,0.411787183
0.57223317,0.425934075,0.552339701,0.404341451
0.55762808,0.422688499,0.549647782,0.436281734
0.615838434,0.443899291,0.51453829,0.440959181
0.5739896,0.452204146,0.55174786,0.453521468
0.542240233,0.471601234,0.570056725,0.469749346
0.582218088,0.521525824,0.608049052,0.529773404
0.620668614,0.492334734,0.609347282,0.56234371
0.620916805,0.545676725,0.617213031,0.608812717
0.632963618,0.560606373,0.632963618,0.632963618
0.533916286,0.408904349,0.483438039,0.408904349
0.541400202,0.416961013,0.495313027,0.427155939
0.52183129,0.406021514,0.546154015,0.414001812
0.519769395,0.403539603,0.514710115,0.415261859
0.515435596,0.432902517,0.508199872,0.431394279
0.504973388,0.423795813,0.520456693,0.4329407
0.51818479,0.437713605,0.528341533,0.457874358
0.539815597,0.435670802,0.538441,0.48297984
0.5279597,0.469042956,0.529143381,0.489165525
0.583707235,0.483438039,0.562954642,0.505794328
0.579602536,0.533916286,0.579602536,0.579602536
0.534336302,0.450886824,0.518318431,0.450886824
0.534049927,0.456938868,0.571698605,0.446381202
0.549590507,0.458275282,0.57599422,0.443517458
0.603887079,0.451535939,0.567383898,0.449474044
0.55632985,0.459439871,0.594283993,0.450123159
0.606903555,0.443231084,0.605987157,0.447240325
0.602569757,0.45142139,0.591000234,0.461864507
0.633345451,0.471028485,0.629030744,0.482655282
0.612421034,0.49487392,0.65558719,0.511483631
0.647435067,0.518318431,0.63216177,0.560988205
0.610607329,0.534336302,0.610607329,0.610607329
0.512037288,0.420244772,0.493098399,0.420244772
0.490139198,0.409534372,0.498062221,0.438801828
0.50629071,0.410641686,0.518012965,0.420702971
0.522404038,0.40962983,0.512266387,0.431928844
0.552721533,0.419423832,0.504076082,0.427614138
0.550583272,0.413581796,0.523263161,0.416159165
0.514977398,0.428454169,0.535329066,0.446533935
0.543843929,0.456499761,0.511502722,0.438782736
0.545103976,0.437694514,0.557761721,0.487275455
0.531205276,0.493098399,0.518547531,0.500066841
0.536627296,0.512037288,0.536627296,0.536627296
0.484908094,0.428320528,0.498081313,0.428320528
0.480001547,0.431623378,0.48769547,0.429542391
0.450218618,0.425571334,0.487428188,0.423662172
0.478779683,0.42599135,0.457855266,0.448424005
0.519998494,0.432654326,0.482235267,0.424864944
0.490482847,0.445808453,0.482082534,0.45837074
0.46944388,0.458981672,0.485729033,0.464060043
0.484335345,0.453101452,0.485156285,0.441226464
0.489432808,0.457129784,0.498864069,0.480917945
0.54350028,0.498081313,0.512686403,0.488249127
0.530861627,0.484908094,0.530861627,0.530861627
