model;spearmans;mse;accuracy;sim_wp;sim_lc;sim_jc_sanchez;sim_jc_seco;sim_lin_sanchez;sim_lin_seco
itdl-aug;0,642394879;0,243774358;0,759493671;0,391769882;0,391769882;0,215378946;0,159100254;0,168295622;0,162803663
itdl-aug;0,633402726;0,247137535;0,759493671;0,393489537;0,393489537;0,214630035;0,15892947;0,167519351;0,162490334
itdl-aug;0,648733298;0,241004272;0,759493671;0,395122605;0,395122605;0,21230237;0,157701123;0,162434017;0,161789928
itdl-aug;0,672884199;0,234614882;0,746835443;0,396272536;0,396272536;0,214503663;0,15791577;0,162049992;0,16021635
itdl-aug;0,661219218;0,235921219;0,772151899;0,395600002;0,395600002;0,211032721;0,154746963;0,157088052;0,159882006
itdl-aug;0,66736672;0,236877485;0,759493671;0,39872035;0,39872035;0,213545287;0,159677498;0,166059892;0,164185572
itdl-aug;0,519845761;0,280284565;0,746835443;0,381772385;0,381772385;0,212908717;0,149116803;0,156826633;0,155493643
itdl-aug;0,555833467;0,274007779;0,708860759;0,386696704;0,386696704;0,212934125;0,152284471;0,161962906;0,161412903
itdl-aug;0,580060735;0,265962216;0,759493671;0,39006977;0,39006977;0,209563945;0,148710608;0,156100731;0,154925536
itdl-aug;0,584260892;0,260181661;0,784810127;0,391716763;0,391716763;0,213128177;0,152406764;0,162868109;0,158626607
itdl-aug;0,581187141;0,263569694;0,734177215;0,394749642;0,394749642;0,214156329;0,153024635;0,165384967;0,158976636
itdl-aug;0,567460265;0,263947331;0,683544304;0,385456531;0,385456531;0,208885994;0,148373261;0,15346717;0,152733889
itdl-aug;0,589339263;0,261895446;0,746835443;0,388973423;0,388973423;0,21103903;0,148345588;0,160858495;0,154712477
itdl-aug;0,59224119;0,256028102;0,734177215;0,384785445;0,384785445;0,209368344;0,149346777;0,159962124;0,155238665
itdl-aug;0,586017321;0,258517253;0,746835443;0,389035987;0,389035987;0,210102977;0,150036159;0,156839563;0,151985386
itdl-aug;0,588938339;0,259617725;0,746835443;0,383578966;0,383578966;0,209016055;0,150637171;0,156635129;0,1538474
itdl-aug;0,617480313;0,248879076;0,772151899;0,391957928;0,391957928;0,209677002;0,149863664;0,150309849;0,152438629
itdl-aug;0,545676725;0,275542898;0,721518987;0,378068122;0,378068122;0,21055848;0,150678923;0,157092678;0,157319665
itdl-aug;0,539032841;0,269774417;0,708860759;0,384804696;0,384804696;0,212379867;0,155673652;0,16316941;0,162912669
itdl-aug;0,552339701;0,26917175;0,708860759;0,38741916;0,38741916;0,213530069;0,158587195;0,165762072;0,161319053
itdl-aug;0,549647782;0,264303205;0,696202532;0,38863998;0,38863998;0,212624758;0,161623351;0,16854499;0,165806819
itdl-aug;0,51453829;0,269432652;0,721518987;0,387241643;0,387241643;0,213225096;0,158975791;0,163502088;0,163211504
itdl-aug;0,55174786;0,263200087;0,708860759;0,390155174;0,390155174;0,211555762;0,156438793;0,158927939;0,158886425
itdl-aug;0,570056725;0,255439807;0,734177215;0,383269384;0,383269384;0,213783771;0,154139304;0,161157913;0,158581749
itdl-aug;0,608049052;0,248423598;0,721518987;0,389279386;0,389279386;0,215210267;0,156375085;0,164475077;0,159708667
itdl-aug;0,609347282;0,248413411;0,721518987;0,389920252;0,389920252;0,214073591;0,15815698;0,15816963;0,159437589
itdl-aug;0,617213031;0,249847311;0,708860759;0,394384047;0,394384047;0,215785489;0,161539197;0,163626778;0,162079788
itdl-aug;0,632963618;0,245694573;0,746835443;0,394441072;0,394441072;0,213776976;0,156480983;0,158214822;0,158487076
itdl-aug;0,483438039;0,290636128;0,658227848;0,385649149;0,385649149;0,209234151;0,152193253;0,156957808;0,156400104
itdl-aug;0,495313027;0,28512839;0,670886076;0,372442499;0,372442499;0,205544821;0,147935986;0,149850235;0,151681865
itdl-aug;0,546154015;0,271947833;0,696202532;0,384454155;0,384454155;0,210706195;0,154410182;0,160205288;0,157539537
itdl-aug;0,514710115;0,273413707;0,658227848;0,380361062;0,380361062;0,20901054;0,155147545;0,159878989;0,159025574
itdl-aug;0,508199872;0,276813084;0,683544304;0,384216837;0,384216837;0,214131597;0,154938872;0,161238779;0,158708372
itdl-aug;0,520456693;0,272560238;0,696202532;0,387539651;0,387539651;0,210531612;0,157739163;0,160812742;0,161576982
itdl-aug;0,528341533;0,269114366;0,683544304;0,383826224;0,383826224;0,21149313;0,157378707;0,162092596;0,16229198
itdl-aug;0,538441;0,264823443;0,64556962;0,383294158;0,383294158;0,206613096;0,153033374;0,156137501;0,157480392
itdl-aug;0,529143381;0,264135729;0,64556962;0,384497762;0,384497762;0,208441546;0,156340637;0,160557424;0,159588827
itdl-aug;0,562954642;0,260176108;0,658227848;0,387710317;0,387710317;0,207944477;0,154634562;0,158986202;0,158493779
itdl-aug;0,579602536;0,260226927;0,658227848;0,389735174;0,389735174;0,210677456;0,15697619;0,157911127;0,158895972
itdl-aug;0,518318431;0,281125917;0,734177215;0,387039921;0,387039921;0,216504347;0,151984457;0,158426693;0,159169072
itdl-aug;0,571698605;0,267992835;0,721518987;0,388256185;0,388256185;0,21412396;0,149484867;0,156323333;0,159166371
itdl-aug;0,57599422;0,266805554;0,683544304;0,387353386;0,387353386;0,212831848;0,148553492;0,158464074;0,15688456
itdl-aug;0,567383898;0,264374287;0,708860759;0,386888472;0,386888472;0,214635717;0,152815582;0,156461397;0,157145852
itdl-aug;0,594283993;0,258512664;0,759493671;0,387869142;0,387869142;0,214279424;0,151727068;0,159356862;0,160486705
itdl-aug;0,605987157;0,253136625;0,746835443;0,391744351;0,391744351;0,217406345;0,151029949;0,157921191;0,155353922
itdl-aug;0,591000234;0,256946915;0,746835443;0,387739672;0,387739672;0,214592162;0,149994922;0,154431436;0,153299806
itdl-aug;0,629030744;0,25361367;0,708860759;0,397094402;0,397094402;0,21811199;0,15321458;0,156996814;0,157478106
itdl-aug;0,65558719;0,246070434;0,746835443;0,390494234;0,390494234;0,215300834;0,151711098;0,156940931;0,155315142
itdl-aug;0,63216177;0,250766174;0,759493671;0,39175409;0,39175409;0,214591907;0,149825583;0,153992477;0,152746077
itdl-aug;0,610607329;0,253841475;0,746835443;0,390596058;0,390596058;0,216799411;0,153503384;0,155610711;0,157145609
itdl-aug;0,493098399;0,286223082;0,64556962;0,378889785;0,378889785;0,211725289;0,155334824;0,164794402;0,162413321
itdl-aug;0,498062221;0,282845331;0,632911392;0,38462753;0,38462753;0,210538966;0,155496286;0,16495343;0,162640534
itdl-aug;0,518012965;0,272226657;0,632911392;0,393082295;0,393082295;0,215307291;0,16175349;0,16893618;0,164547266
itdl-aug;0,512266387;0,272009846;0,632911392;0,387250162;0,387250162;0,213850661;0,155230145;0,161824019;0,16197477
itdl-aug;0,504076082;0,275998629;0,620253165;0,392943492;0,392943492;0,212385629;0,155570523;0,162966077;0,162690397
itdl-aug;0,523263161;0,272998466;0,658227848;0,389471137;0,389471137;0,213090034;0,153409077;0,16317291;0,159775391
itdl-aug;0,535329066;0,270026287;0,632911392;0,38914366;0,38914366;0,209943296;0,154386845;0,160337104;0,160882848
itdl-aug;0,511502722;0,268018098;0,658227848;0,385064708;0,385064708;0,211696157;0,153718736;0,161309171;0,160736152
itdl-aug;0,557761721;0,262546444;0,64556962;0,388929116;0,388929116;0,208161136;0,150224376;0,155492408;0,153019404
itdl-aug;0,518547531;0,269459161;0,670886076;0,392620491;0,392620491;0,211655757;0,156163173;0,16135592;0,160468163
itdl-aug;0,536627296;0,265582322;0,708860759;0,386630495;0,386630495;0,209844724;0,15067132;0,15263014;0,15285896
itdl-aug;0,498081313;0,29091189;0,683544304;0,375081052;0,375081052;0,208659653;0,142304831;0,146608274;0,149156469
itdl-aug;0,48769547;0,289235647;0,658227848;0,377928062;0,377928062;0,212398307;0,147008132;0,154498306;0,153116879
itdl-aug;0,487428188;0,284002057;0,670886076;0,376942693;0,376942693;0,210406622;0,145408231;0,152168367;0,1525345
itdl-aug;0,457855266;0,286963538;0,696202532;0,385234531;0,385234531;0,21086804;0,149769336;0,15625607;0,156259001
itdl-aug;0,482235267;0,282374088;0,658227848;0,384356832;0,384356832;0,208992046;0,14880639;0,150846618;0,154465727
itdl-aug;0,482082534;0,278084056;0,658227848;0,376510032;0,376510032;0,20907037;0,145990885;0,150672509;0,151990932
itdl-aug;0,485729033;0,278094536;0,658227848;0,381843891;0,381843891;0,211656148;0,154088546;0,154735923;0,158727762
itdl-aug;0,485156285;0,277465615;0,670886076;0,380404611;0,380404611;0,205224061;0,145402518;0,145847743;0,150108142
itdl-aug;0,498864069;0,272525575;0,683544304;0,384327584;0,384327584;0,209563978;0,150276452;0,150972059;0,154576044
itdl-aug;0,512686403;0,271135245;0,683544304;0,384318839;0,384318839;0,210833936;0,151180376;0,152782239;0,155119766
itdl-aug;0,530861627;0,267575347;0,683544304;0,388108941;0,388108941;0,209640436;0,15337564;0,151713355;0,154253636
