itdl-ag,itdl-au,itdl-aug,itdl-ug
0.229239172,0.260630338,0.24795217,0.224766465
0.240768579,0.250543742,0.242229626,0.245915429
0.234964828,0.26438648,0.236702995,0.25618794
0.231486939,0.252520392,0.246465758,0.251807919
0.232995485,0.249139028,0.233121042,0.247161005
0.230522471,0.2377547,0.234329238,0.24434604
0.235819688,0.244450209,0.233933489,0.248328721
0.235734089,0.23409879,0.229472029,0.244598628
0.227721651,0.231993866,0.239129144,0.232024845
0.230104046,0.233388747,0.214998809,0.228683115
0.226865994,0.228916867,0.230174425,0.22190055
0.236343661,0.275511479,0.246349437,0.275511479
0.249152232,0.276104211,0.254065233,0.274212823
0.258022505,0.275692732,0.246148305,0.282335105
0.248608672,0.272435309,0.242804079,0.275608548
0.241891937,0.276335516,0.244086597,0.268643662
0.247140255,0.270150225,0.247809159,0.269016491
0.245776677,0.267270729,0.243666019,0.265036565
0.24127599,0.264360386,0.239849266,0.25844178
0.245059025,0.260161751,0.243120551,0.259323166
0.24697502,0.246349437,0.240374834,0.251331632
0.241840651,0.236343661,0.241840651,0.241840651
0.238357471,0.29183256,0.250088965,0.29183256
0.256589622,0.290664483,0.248784835,0.291535402
0.253806598,0.294581261,0.242633356,0.28826803
0.239175437,0.282094989,0.243487376,0.28332351
0.244822402,0.276503729,0.240831076,0.280694084
0.240934502,0.27371949,0.243774358,0.272028255
0.241747005,0.272617643,0.247137535,0.268511407
0.24542989,0.266855228,0.241004272,0.258312459
0.244189762,0.258565195,0.234614882,0.254866996
0.236741894,0.250088965,0.235921219,0.250008987
0.236877485,0.238357471,0.236877485,0.236877485
0.266831062,0.317281661,0.280284565,0.317281661
0.269678447,0.313470395,0.274007779,0.309645668
0.266978849,0.306782019,0.265962216,0.308373331
0.26647305,0.305910828,0.260181661,0.301885071
0.256989946,0.301321854,0.263569694,0.303093356
0.257212117,0.302300896,0.263947331,0.298538579
0.259187926,0.299806558,0.261895446,0.296682623
0.257927007,0.294330686,0.256028102,0.293175444
0.253377855,0.291839767,0.258517253,0.278628581
0.250172756,0.280284565,0.259617725,0.279032085
0.248879076,0.266831062,0.248879076,0.248879076
0.270901303,0.31059702,0.275542898,0.31059702
0.267750699,0.312123904,0.269774417,0.312719049
0.26345278,0.307883616,0.26917175,0.312048849
0.268476484,0.305028044,0.264303205,0.306227253
0.252168085,0.299739231,0.269432652,0.300988008
0.257461054,0.296599795,0.263200087,0.29651376
0.264143446,0.293241972,0.255439807,0.290721488
0.255366608,0.282886912,0.248423598,0.278681412
0.254049872,0.283822548,0.248413411,0.274047485
0.252350886,0.275542898,0.249847311,0.258325763
0.245694573,0.270901303,0.245694573,0.245694573
0.271451125,0.327508256,0.290636128,0.327508256
0.271691219,0.323135455,0.28512839,0.322557631
0.276217588,0.323386125,0.271947833,0.321738671
0.27686214,0.32213334,0.273413707,0.321952505
0.26788268,0.311480156,0.276813084,0.315703744
0.270766005,0.313065342,0.272560238,0.312558312
0.26781362,0.311011474,0.269114366,0.304400919
0.262671043,0.30891109,0.264823443,0.294127157
0.268613246,0.298999524,0.264135729,0.290116168
0.254887626,0.290636128,0.260176108,0.282368461
0.260226927,0.271451125,0.260226927,0.260226927
0.274476273,0.32283071,0.281125917,0.32283071
0.272954178,0.318957591,0.267992835,0.31794845
0.273223656,0.318094389,0.266805554,0.320035262
0.257980319,0.314365383,0.264374287,0.318074463
0.25846576,0.314158669,0.258512664,0.313307124
0.254641886,0.315437173,0.253136625,0.314151274
0.252368711,0.314031082,0.256946915,0.307877453
0.247441735,0.305572058,0.25361367,0.301818292
0.254398863,0.293140547,0.246070434,0.290696817
0.247665069,0.281125917,0.250766174,0.2736943
0.253841475,0.274476273,0.253841475,0.253841475
0.277350799,0.33702237,0.286223082,0.33702237
0.281629954,0.334175356,0.282845331,0.328454773
0.279074665,0.329933245,0.272226657,0.332240445
0.27537863,0.326424512,0.272009846,0.326120407
0.263783373,0.324571663,0.275998629,0.321179375
0.263146183,0.325901786,0.272998466,0.319396126
0.271393677,0.312087924,0.270026287,0.308463805
0.264815979,0.306930097,0.268018098,0.304891048
0.262463022,0.306760219,0.262546444,0.291647561
0.266020857,0.286223082,0.269459161,0.282639566
0.265582322,0.277350799,0.265582322,0.265582322
0.285904567,0.335061402,0.29091189,0.335061402
0.288320869,0.33570685,0.289235647,0.333506265
0.292039948,0.332074824,0.284002057,0.332858658
0.285496459,0.331446047,0.286963538,0.326568161
0.274321913,0.326291735,0.282374088,0.327624944
0.276731841,0.32200005,0.278084056,0.319253326
0.280152479,0.314666554,0.278094536,0.313236935
0.282907479,0.31325026,0.277465615,0.309137768
0.273010497,0.305626258,0.272525575,0.295371472
0.265223227,0.29091189,0.271135245,0.284980643
0.267575347,0.285904567,0.267575347,0.267575347
